organization,soil_property,prep_transform,train,prep_spectra,components,n,rmse,bias,rsq,ccc,rpd,rpiq
7,clay_perc,withoutTransform,int10CVrep10,wavelet,8,69,9.82382168115073,0.8984095355168819,0.5418601135670811,0.7188241065425984,1.2085570268493593,1.4757217008228147
7,pH_H20,withoutTransform,int10CVrep10,BOC,5,70,0.5045421364329412,-0.022148818145231987,0.8270078619865956,0.9067876454416651,2.420176885201385,3.8243041552282215
7,pH_H20,withoutTransform,int10CVrep10,raw,6,70,0.5194669341505771,-0.04129136213538782,0.8188198483404592,0.9024240355881442,2.3534236086193285,3.71882226480573
7,pH_H20,withoutTransform,int10CVrep10,SG1stDer,5,70,0.7535478017285523,-0.07780692581655498,0.7089009825834571,0.832238110407386,1.6261355594414442,2.569579527414918
7,pH_H20,withoutTransform,int10CVrep10,SNV,7,70,0.47787776508254076,-0.011616908477271651,0.8491517692588199,0.9208312785847451,2.567816072593442,4.0575999780544025
7,pH_H20,withoutTransform,int10CVrep10,SNVplusSG1stDer,5,70,0.4812992269979011,-0.025992425309670008,0.8484110355227258,0.9203552607397585,2.5405820278041342,4.014565408437498
7,pH_H20,withoutTransform,int10CVrep10,wavelet,5,70,0.678320618517132,-0.08161845468349119,0.73490796528321,0.8526159356476247,1.8176596103479987,2.8722211352191884
7,potassium_cmolkg,logTransform,int10CVrep10,BOC,5,69,0.5670273022941976,-0.007501353025146802,0.5061275078706046,0.7098669377283693,1.3564590149263769,1.8000517032841068
7,potassium_cmolkg,logTransform,int10CVrep10,raw,5,69,0.5601675358159991,-0.007531586610577119,0.5073427049398374,0.7097809108169189,1.3718600482236774,1.8204892217893345
7,potassium_cmolkg,logTransform,int10CVrep10,SG1stDer,5,69,0.5496253592062301,-0.014521550089462851,0.5394007658949926,0.7338476436116076,1.397204642077761,1.8541220693977554
7,potassium_cmolkg,logTransform,int10CVrep10,SNV,6,69,0.556863356610258,0.001445786619238283,0.5221863750877868,0.7209343383726479,1.3812977601534424,1.8330132783567203
7,potassium_cmolkg,logTransform,int10CVrep10,SNVplusSG1stDer,5,69,0.556195678295922,-0.024199708294290585,0.530143469155846,0.7273211619603973,1.3807036686237375,1.8322249054990192
